product name,value to be included in the spreadsheet
ABB: TRIO-27.6-TL-OUTD-S1A-US-480 [480V],ABB__TRIO_27_6_TL_OUTD_S1A_US_480__480V_
ABB: TRIO-27.6-TL-OUTD-S1A-US-480-A [480V],ABB__TRIO_27_6_TL_OUTD_S1A_US_480_A__480V_
ABB: TRIO-27.6-TL-OUTD-S1B-US-480 [480V],ABB__TRIO_27_6_TL_OUTD_S1B_US_480__480V_
ABB: TRIO-27.6-TL-OUTD-S1B-US-480-A [480V],ABB__TRIO_27_6_TL_OUTD_S1B_US_480_A__480V_
ABB: TRIO-50.0-TL-OUTD-US-480 [480V],ABB__TRIO_50_0_TL_OUTD_US_480__480V_
ABB: TRIO-60.0-TL-OUTD-US-480 [480V],ABB__TRIO_60_0_TL_OUTD_US_480__480V_
ABB: TRIO-TM-60.0-US-480 [480V],ABB__TRIO_TM_60_0_US_480__480V_
ABB: ULTRA-1100-TL-OUTD-1-US-690-x-y-z [690V],ABB__ULTRA_1100_TL_OUTD_1_US_690_x_y_z__690V_
ABB: ULTRA-1100-TL-OUTD-2-US-690-x-y-z [690V],ABB__ULTRA_1100_TL_OUTD_2_US_690_x_y_z__690V_
ABB: ULTRA-1100-TL-OUTD-3-US-690-x-y-z [690V],ABB__ULTRA_1100_TL_OUTD_3_US_690_x_y_z__690V_
ABB: ULTRA-1100-TL-OUTD-4-US-690-x-y-z [690V],ABB__ULTRA_1100_TL_OUTD_4_US_690_x_y_z__690V_
ABB: ULTRA-1500-TL-OUTD-1-US-690-x-y-z [690V],ABB__ULTRA_1500_TL_OUTD_1_US_690_x_y_z__690V_
ABB: ULTRA-1500-TL-OUTD-2-US-690-x-y-z [690V],ABB__ULTRA_1500_TL_OUTD_2_US_690_x_y_z__690V_
ABB: ULTRA-1500-TL-OUTD-3-US-690-x-y-z [690V],ABB__ULTRA_1500_TL_OUTD_3_US_690_x_y_z__690V_
ABB: ULTRA-1500-TL-OUTD-4-US-690-x-y-z [690V],ABB__ULTRA_1500_TL_OUTD_4_US_690_x_y_z__690V_
ABB: ULTRA-750-TL-OUTD-1-US-690-x-y-z [690V],ABB__ULTRA_750_TL_OUTD_1_US_690_x_y_z__690V_
ABB: ULTRA-750-TL-OUTD-2-US-690-x-y-z [690V],ABB__ULTRA_750_TL_OUTD_2_US_690_x_y_z__690V_
ABB: ULTRA-750-TL-OUTD-3-US-690-x-y-z [690V],ABB__ULTRA_750_TL_OUTD_3_US_690_x_y_z__690V_
ABB: ULTRA-750-TL-OUTD-4-US-690-x-y-z [690V],ABB__ULTRA_750_TL_OUTD_4_US_690_x_y_z__690V_
ABB: UNO-2.0-I-OUTD-S-US [208V],ABB__UNO_2_0_I_OUTD_S_US__208V_
ABB: UNO-2.0-I-OUTD-S-US [240V],ABB__UNO_2_0_I_OUTD_S_US__240V_
ABB: UNO-2.0-I-OUTD-S-US [277V],ABB__UNO_2_0_I_OUTD_S_US__277V_
ABB: UNO-2.0-TL-OUTD-S-US [208V],ABB__UNO_2_0_TL_OUTD_S_US__208V_
ABB: UNO-2.0-TL-OUTD-S-US [240V],ABB__UNO_2_0_TL_OUTD_S_US__240V_
ABB: UNO-2.0-TL-OUTD-S-US [277V],ABB__UNO_2_0_TL_OUTD_S_US__277V_
ABB: UNO-2.0-TL-OUTD-S-US-A [208V],ABB__UNO_2_0_TL_OUTD_S_US_A__208V_
ABB: UNO-2.0-TL-OUTD-S-US-A [240V],ABB__UNO_2_0_TL_OUTD_S_US_A__240V_
ABB: UNO-2.0-TL-OUTD-S-US-A [277V],ABB__UNO_2_0_TL_OUTD_S_US_A__277V_
ABB: UNO-2.0-TL-OUTD-S-US-B-C-M [208V],ABB__UNO_2_0_TL_OUTD_S_US_B_C_M__208V_
ABB: UNO-2.0-TL-OUTD-S-US-B-C-M [240V],ABB__UNO_2_0_TL_OUTD_S_US_B_C_M__240V_
ABB: UNO-2.0-TL-OUTD-S-US-B-C-M [277V],ABB__UNO_2_0_TL_OUTD_S_US_B_C_M__277V_
ABB: UNO-2.0-TL-OUTD-S-US-B-C-M-A [208V],ABB__UNO_2_0_TL_OUTD_S_US_B_C_M_A__208V_
ABB: UNO-2.0-TL-OUTD-S-US-B-C-M-A [240V],ABB__UNO_2_0_TL_OUTD_S_US_B_C_M_A__240V_
ABB: UNO-2.0-TL-OUTD-S-US-B-C-M-A [277V],ABB__UNO_2_0_TL_OUTD_S_US_B_C_M_A__277V_
ABB: UNO-2.0-TL-OUTD-S-US-B-M [208V],ABB__UNO_2_0_TL_OUTD_S_US_B_M__208V_
ABB: UNO-2.0-TL-OUTD-S-US-B-M [240V],ABB__UNO_2_0_TL_OUTD_S_US_B_M__240V_
ABB: UNO-2.0-TL-OUTD-S-US-B-M [277V],ABB__UNO_2_0_TL_OUTD_S_US_B_M__277V_
ABB: UNO-2.0-TL-OUTD-S-US-B-M-A [208V],ABB__UNO_2_0_TL_OUTD_S_US_B_M_A__208V_
ABB: UNO-2.0-TL-OUTD-S-US-B-M-A [240V],ABB__UNO_2_0_TL_OUTD_S_US_B_M_A__240V_
ABB: UNO-2.0-TL-OUTD-S-US-B-M-A [277V],ABB__UNO_2_0_TL_OUTD_S_US_B_M_A__277V_
ABB: UNO-2.0-TL-OUTD-S-US-C-M [208V],ABB__UNO_2_0_TL_OUTD_S_US_C_M__208V_
