,dhi,dirhi,pressure,temp_air,v_wind,z0
14.01.2012 20:00,0,0,1002560,1383333333,244922,15
14.01.2012 21:00,0,0,1003010,6,24425,15
14.01.2012 22:00,0,0,1003480,95,226786,15
14.01.2012 23:00,0,0,1004050,583333333,201154,15
15.01.2012 00:00,0,0,1004700,216666667,187114,15
15.01.2012 01:00,0,0,1005370,3,184211,15
15.01.2012 02:00,0,0,1006030,816666667,186133,15
15.01.2012 03:00,0,0,1006720,683333333,182514,15
15.01.2012 04:00,0,0,1007560,466666667,16746,15
15.01.2012 05:00,0,0,1008410,383333333,148366,15
15.01.2012 06:00,0,0,1009170,-1,139441,15
15.01.2012 07:00,2,0,1009830,-85,137359,15
15.01.2012 08:00,49,19,1010420,-1183333333,140133,15
15.01.2012 09:00,133,25,1010720,95,141143,15
15.01.2012 10:00,142,121,1010980,3066666667,139252,15
15.01.2012 11:00,113,207,1011280,4233333333,129382,15
15.01.2012 12:00,95,230,1011640,5066666667,116869,15
15.01.2012 13:00,79,191,1012140,5266666667,109936,15
15.01.2012 14:00,64,107,1012720,5,10459,15
15.01.2012 15:00,26,18,1013290,4183333333,105124,15
15.01.2012 16:00,0,0,1013990,27,10748,15
15.01.2012 17:00,0,0,1014590,1416666667,120184,15
15.01.2012 18:00,0,0,1015040,2,139656,15
15.01.2012 19:00,0,0,1015440,-3,149932,15
15.01.2012 20:00,0,0,1015580,-35,158997,15
15.01.2012 21:00,0,0,1015660,-1383333333,165046,15
15.01.2012 22:00,0,0,1015800,-2033333333,159936,15
15.01.2012 23:00,0,0,1015890,-3116666667,153932,15
16.01.2012 00:00,0,0,1015880,-3016666667,153047,15
16.01.2012 01:00,0,0,1015810,-3633333333,153305,15
16.01.2012 02:00,0,0,1015730,-415,166466,15
16.01.2012 03:00,0,0,1015570,-3733333333,191027,15
16.01.2012 04:00,0,0,1015280,-4183333333,21239,15
16.01.2012 05:00,0,0,1014830,-41,247515,15
16.01.2012 06:00,0,0,1014230,-37,28645,15
16.01.2012 07:00,3,0,1013630,-3983333333,304015,15
16.01.2012 08:00,39,41,1013440,-3216666667,287881,15
16.01.2012 09:00,62,138,1013000,-916666667,2876,15
16.01.2012 10:00,73,220,1012360,165,281022,15
